id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,rate_multiplier
14_50_tips,16.0,0.1702127659574468,0.3790904917999999,0.1157926520226987,50,,IQ-TREE,0.25
5_50_tips,23.0,0.2421052631578947,0.3471821513999996,0.1054901425014437,50,,IQ-TREE,0.25
18_50_tips,4.0,0.0425531914893617,1.4309361811999997,0.3592747615659099,50,,IQ-TREE,0.25
4_50_tips,10.0,0.1063829787234042,0.361199879,0.0673114567264339,50,,IQ-TREE,0.25
3_50_tips,84.0,0.8936170212765957,0.0280338643,0.0074134017179773,50,,IQ-TREE,0.25
13_50_tips,12.0,0.1276595744680851,0.2835554552999999,0.053816228097868,50,,IQ-TREE,0.25
7_50_tips,16.0,0.1702127659574468,0.3521691291999997,0.0716544905482759,50,,IQ-TREE,0.25
19_50_tips,4.0,0.0425531914893617,1.1015175448,0.3433435148849137,50,,IQ-TREE,0.25
12_50_tips,56.0,0.5957446808510638,0.0927720005,0.0215911563976619,50,,IQ-TREE,0.25
16_50_tips,30.0,0.3191489361702128,0.1220966158,0.0281239168660892,50,,IQ-TREE,0.25
8_50_tips,40.0,0.425531914893617,0.2542450786479997,0.0614096419420552,50,,IQ-TREE,0.25
2_50_tips,93.0,1.0,2.327441443999999,0.4194312263279427,50,,FastME,0.25
10_50_tips,90.0,1.0,0.8787994554999998,0.1445931118110682,50,,FastME,0.25
17_50_tips,8.0,0.0851063829787234,0.5673196579999997,0.1292910076139964,50,,FastME,0.25
15_50_tips,92.0,1.0,0.5197876063000001,0.0783697401343421,50,,FastME,0.25
11_50_tips,6.0,0.0638297872340425,1.4854923000000002,0.3477775905172844,50,,FastME,0.25
9_50_tips,92.0,1.0,0.8590925849999996,0.1664629137999594,50,,FastME,0.25
0_50_tips,12.0,0.1276595744680851,0.4000148442,0.0829624401003803,50,,FastME,0.25
1_50_tips,92.0,1.0,2.571223936000001,0.4872151460975601,50,,FastME,0.25
14_50_tips,20.0,0.2127659574468085,0.5436958279999998,0.1553854226347393,50,,FastME,0.25
6_50_tips,16.0,0.1702127659574468,0.7267332208,0.1692132613059747,50,,FastME,0.25
18_50_tips,8.0,0.0851063829787234,1.9556654157000004,0.4700911868459464,50,,FastME,0.25
5_50_tips,92.0,1.0,1.1975689827,0.1967670571827889,50,,FastME,0.25
3_50_tips,68.0,1.0,0.0328090662,0.008445507570625,50,,FastME,0.25
4_50_tips,14.0,0.1489361702127659,0.343457883,0.0600978783664326,50,,FastME,0.25
7_50_tips,24.0,0.2553191489361702,0.424934738,0.0854084564564813,50,,FastME,0.25
13_50_tips,92.0,1.0,2.0846060959999995,0.3570985730890931,50,,FastME,0.25
