id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,clock_rate,seq_length,model,saved_at
18_200_tips,392.0,1.0,27.846178533999964,3.792628041154003,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
6_20_tips,4.0,0.1176470588235294,1.80668318,0.6218382058305375,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
5_20_tips,2.0,0.0588235294117647,6.69289914,2.401105594386596,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
7_50_tips,10.0,0.1063829787234042,3.179127343000001,0.8959884384996255,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
9_10_tips,0.0,0.0,1.61920147,0.7639679833822424,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
19_20_tips,0.0,0.0,3.63848223,1.6469185140023188,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
11_50_tips,12.0,0.1276595744680851,10.93769349,2.135974773449264,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
3_50_tips,8.0,0.0851063829787234,1.1225638280000003,0.3041787264305471,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
2_10_tips,2.0,0.1428571428571428,2.39182854,1.4298983643892371,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
19_10_tips,2.0,0.1428571428571428,1.34950879,0.6683094329486552,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
16_100_tips,187.0,1.0,8.461808260679998,1.2458093591637542,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
0_20_tips,2.0,0.0588235294117647,2.9556919,0.9376006623503604,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
