id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,requested_trees_per_tip_size,allow_duplicate_sequences,successful_alignments_for_tip_size,combo_name,model,clock_rate,seq_length,tree_type,n_per_size,saved_at
18_200_tips,124.0,0.3147208121827411,0.8681227467000013,0.1051021284299907,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
10_200_tips,82.0,0.2081218274111675,1.353057396999997,0.1951342160959759,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
2_10_tips,2.0,0.1428571428571428,0.3490131729000001,0.1742421434773371,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
1_10_tips,0.0,0.0,0.0901608115,0.0485220714003589,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
2_20_tips,0.0,0.0,0.3861503021,0.2052379221816833,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
19_50_tips,28.0,0.2978723404255319,12.453795280100003,2.8182527438011915,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
16_10_tips,0.0,0.0,0.3143388481999999,0.2476846452682997,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
8_200_tips,72.0,0.182741116751269,9.83068452448999,1.6312035533721136,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
14_200_tips,198.0,0.5025380710659898,1.3552863711539962,0.3413490633267237,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
13_50_tips,18.0,0.1914893617021276,0.5056556586000002,0.0880390912554653,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
13_20_tips,0.0,0.0,2.4195520461,0.9209037061867876,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
15_100_tips,86.0,0.4432989690721649,0.2795574583099989,0.041556856920949,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
6_200_tips,96.0,0.2436548223350254,2.619551554900005,0.3986021636369929,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
14_50_tips,66.0,0.7021276595744681,0.1126412215,0.0254652751521234,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
1_200_tips,56.0,0.1421319796954314,4.169403176900001,0.6219658340387347,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
16_50_tips,12.0,0.1276595744680851,5.221776747099999,2.083013047165306,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
3_100_tips,20.0,0.1030927835051546,6.1340136368,1.1440863972943172,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
3_10_tips,0.0,0.0,0.8833661701999999,0.7682092427820804,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
0_20_tips,18.0,0.5294117647058824,0.0376992382,0.0136853896130489,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
19_20_tips,4.0,0.1176470588235294,12.7596446134,4.204727820635508,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
