id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,requested_trees_per_tip_size,allow_duplicate_sequences,successful_alignments_for_tip_size,combo_name,model,clock_rate,seq_length,tree_type,n_per_size,saved_at
1_50_tips,12.0,0.1276595744680851,2.6032501468,0.5501190595038771,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
12_20_tips,2.0,0.0588235294117647,4.466944784,1.877148835774595,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
10_10_tips,0.0,0.0,2.7060110202,1.5939936137399953,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
4_200_tips,50.0,0.1269035532994923,6.043711188800003,1.1826719070192182,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
6_20_tips,0.0,0.0,9.025201008799998,4.149919022528397,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
17_50_tips,4.0,0.0425531914893617,3.2497627325,0.74553795911869,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
17_200_tips,32.0,0.0812182741116751,2.786947907600001,0.573482957560099,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
9_200_tips,22.0,0.0558375634517766,4.193985003800001,0.5825743635611097,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
0_200_tips,24.0,0.0609137055837563,6.0307690127,0.919813556335544,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
11_20_tips,2.0,0.0588235294117647,0.6171401483,0.1982457735804605,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
4_50_tips,6.0,0.0638297872340425,0.2663674891,0.0551990901575175,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
8_100_tips,10.0,0.0515463917525773,10.153455946800005,1.9307528731378016,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
18_200_tips,84.0,0.2131979695431472,0.6366810372000009,0.0772944299908395,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
19_50_tips,10.0,0.1063829787234042,5.3828757340000015,1.445755713201185,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
16_10_tips,0.0,0.0,0.6107441862,0.5110206473932556,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
