id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb
17_100_tips,64.0,0.3298969072164948,0.3147894433999994,0.0470823345351904,100,,IQ-TREE,1088.6154432296753,
6_100_tips,82.0,0.422680412371134,0.262990096299999,0.0376035038575231,100,,IQ-TREE,1088.6154432296753,
8_100_tips,20.0,0.1030927835051546,1.6803564835999996,0.2664100428797576,100,,IQ-TREE,1088.6154432296753,
16_100_tips,178.0,0.9175257731958762,0.0583839861538,0.0109393492410666,100,,IQ-TREE,1088.6154432296753,
14_100_tips,50.0,0.2577319587628865,0.6514181006550003,0.1111326047741708,100,,IQ-TREE,1088.6154432296753,
18_100_tips,68.0,0.3505154639175257,0.3330212099999991,0.0589457998108137,100,,IQ-TREE,1088.6154432296753,
11_100_tips,66.0,0.3402061855670103,0.3582922229999993,0.0581511930855426,100,,IQ-TREE,1088.6154432296753,
3_100_tips,28.0,0.1443298969072164,1.6385487346999996,0.3092184176908527,100,,IQ-TREE,1088.6154432296753,
4_100_tips,86.0,0.4432989690721649,0.208592568,0.02994774551414,100,,IQ-TREE,1088.6154432296753,
5_100_tips,184.0,0.9484536082474226,0.0349225379,0.0077431886439001,100,,IQ-TREE,1088.6154432296753,
2_100_tips,36.0,0.1855670103092783,1.5888629362999995,0.4886058314265794,100,,IQ-TREE,1088.6154432296753,
9_100_tips,82.0,0.422680412371134,0.3550044852999989,0.051134845570259,100,,IQ-TREE,1088.6154432296753,
19_100_tips,18.0,0.0927835051546391,1.477098498999999,0.2502671479197157,100,,IQ-TREE,1088.6154432296753,
1_100_tips,36.0,0.1855670103092783,1.1753310014,0.252579683963289,100,,IQ-TREE,1088.6154432296753,
0_100_tips,12.0,0.0618556701030927,2.587138774199999,0.5072573178965596,100,,IQ-TREE,1088.6154432296753,
13_100_tips,80.0,0.4123711340206185,0.309890742599999,0.0480281897781445,100,,IQ-TREE,1088.6154432296753,
12_100_tips,30.0,0.1546391752577319,0.7516473006000001,0.1043013967158437,100,,IQ-TREE,1088.6154432296753,
10_100_tips,34.0,0.1752577319587628,0.5648157826000005,0.0895680496517529,100,,IQ-TREE,1088.6154432296753,
7_100_tips,66.0,0.3402061855670103,0.4459101844999996,0.0665757643999067,100,,IQ-TREE,1088.6154432296753,
15_100_tips,164.0,0.845360824742268,0.124389517378,0.0289598358928322,100,,IQ-TREE,1088.6154432296753,
6_100_tips,183.0,1.0,0.9934928673,0.1319430178551129,100,,FastME,0.4603898525238037,
17_100_tips,190.0,1.0,1.277719716000001,0.1448105696024384,100,,FastME,0.4603898525238037,
16_100_tips,135.0,1.0,0.0725446306538,0.0126230620005603,100,,FastME,0.4603898525238037,
8_100_tips,32.0,0.1649484536082474,2.24106229,0.3586221684915898,100,,FastME,0.4603898525238037,
18_100_tips,188.0,1.0,1.5914058477000006,0.2085178948474166,100,,FastME,0.4603898525238037,
14_100_tips,189.0,1.0,4.346982994254998,0.5800084570690553,100,,FastME,0.4603898525238037,
3_100_tips,38.0,0.1958762886597938,2.3086568973,0.4245526270374974,100,,FastME,0.4603898525238037,
11_100_tips,186.0,1.0,1.9443994745000008,0.2635532323235779,100,,FastME,0.4603898525238037,
5_100_tips,137.0,1.0,0.044067693,0.0078496514605603,100,,FastME,0.4603898525238037,
